151,83,73,ORANGE
157,157,157,BLANC
164,75,65,ORANGE
190,186,190,BLANC
81,93,145,BLEU
63,62,110,BLEU
120,142,199,BLEU
170,53,78,BLEU
88,118,188,ROUGE
180,149,52,JAUNE
168,33,69,ROUGE
182,37,73,ROUGE
215,185,55,JAUNE
50,65,128,BLEU
157,143,152,BLANC
218,84,52,ORANGE
226,186,35,JAUNE
167,57,77,ROUGE
122,52,58,ROUGE
130,149,65,VERT
193,159,52,JAUNE

69,75,93,BLEU
166,138,71,JAUNE
72,100,60,VERT
186,103,65,ORANGE
170,175,157,BLANC
146,71,45,ORANGE
213,122,74,ORANGE
205,134,38,JAUNE
218,192,85,JAUNE
84,134,50,VERT
84,151,46,VERT
165,38,62,ROUGE
101,175,69,VERT
168,63,51,ORANGE
84,79,80,BLEU
42,64,162,BLEU
183,171,176,BLANC
148,47,72,ROUGE
64,97,56,VERT
42,75,161,BLEU
141,49,69,ROUGE

83,102,66,VERT
82,93,122,BLEU
156,75,60,ORANGE
94,157,73,VERT
184,174,167,BLANC
86,99,51,VERT
214,207,113,JAUNE
177,183,177,BLEU
100,122,171,BLANC
161,46,59,ROUGE
90,161,50,VERT
195,161,60,JAUNE
205,92,80,ORANGE
171,67,52,ORANGE
170,128,60,JAUNE
215,104,57,ORANGE
207,187,189,BLANC
89,142,70,VERT
71,103,60,VERT
98,80,134,BLEU
170,165,174,BLANC

133,134,123,BLANC
134,72,83,ROUGE
158,81,68,ORANGE
51,78,156,BLEU
80,94,140,BLEU
74,64,102,BLEU
121,135,188,BLEU
166,171,192,ROUGE
196,102,106,BLANC
181,149,41,JAUNE
169,31,61,ROUGE
108,154,50,VERT
227,182,33,JAUNE
165,72,63,ORANGE
130,56,69,ROUGE
201,105,58,ORANGE
225,171,28,JAUNE
195,164,65,JAUNE
161,123,51,JAUNE
103,87,140,BLEU
191,87,55,ORANGE

69,82,103,BLEU
137,79,78,ROUGE
123,128,125,BLANC
182,144,64,JAUNE
65,96,146,BLEU
126,65,73,ROUGE
200,207,190,BLANC
208,104,52,VERT
142,185,108,ORANGE
158,159,168,BLANC
86,163,63,VERT
198,187,181,BLANC
200,104,47,ORANGE
163,68,59,ORANGE
80,57,91,BLEU
218,97,71,ORANGE
100,159,69,VERT
172,168,178,BLANC
146,63,55,ORANGE
172,55,64,ROUGE
157,159,160,BLANC

83,110,68,VERT
78,93,128,BLEU
160,125,57,JAUNE
181,186,186,BLANC
179,104,97,ROUGE
67,66,102,BLEU
219,214,213,BLANC
96,157,78,VERT
127,181,85,VERT
177,160,165,BLANC
219,89,65,ORANGE
197,99,53,ORANGE
208,174,39,JAUNE
168,66,61,ORANGE
162,124,50,JAUNE
116,147,67,VERT
179,55,63,ROUGE
173,171,183,BLANC
71,103,60,VERT
61,97,140,BLEU
160,143,155,BLANC

136,134,123,BLANC
146,71,81,ROUGE
141,142,132,BLANC
58,72,151,BLEU
83,106,156,BLEU
84,124,70,VERT
185,109,131,ROUGE
141,39,79,BLEU
115,128,189,ROUGE
168,169,176,BLANC
44,59,160,BLEU
188,197,196,BLANC
184,28,76,ROUGE
168,80,62,ORANGE
166,58,56,ORANGE
126,186,77,VERT
172,40,51,ROUGE
192,164,71,JAUNE
161,67,59,ORANGE
188,177,65,JAUNE
92,130,62,VERT

122,73,74,ROUGE
149,79,86,ROUGE
140,126,124,BLANC
161,56,71,ROUGE
76,91,142,BLEU
175,80,71,ORANGE
204,205,196,BLANC
99,125,57,VERT
152,187,97,VERT
186,72,54,ORANGE
88,169,65,VERT
220,86,54,ORANGE
222,193,62,JAUNE
91,113,60,VERT
54,75,95,BLEU
233,99,57,ORANGE
210,176,176,BLANC
180,170,177,BLANC
156,117,55,JAUNE
207,155,62,JAUNE
160,54,70,ROUGE

153,119,64,JAUNE
78,91,126,BLEU
128,61,63,ROUGE
177,182,193,BLANC
172,84,88,ROUGE
165,115,48,JAUNE
166,201,141,VERT
49,73,158,BLANC
209,208,198,BLEU
174,165,163,BLANC
202,173,38,JAUNE
92,172,75,VERT
199,57,75,ROUGE
171,132,52,JAUNE
121,37,53,ROUGE
85,168,48,VERT
212,70,41,ORANGE
185,86,67,ORANGE
71,103,55,VERT
96,151,61,VERT
183,71,53,ORANGE

71,78,104,BLEU
149,149,154,BLANC
68,74,106,BLEU
172,173,179,BLANC
190,150,44,JAUNE
152,75,61,ORANGE
176,84,86,ROUGE
199,112,89,ROUGE
186,103,98,ORANGE
191,88,47,ORANGE
69,142,52,VERT
207,171,28,JAUNE
64,73,161,BLEU
152,149,155,BLANC
127,52,50,ROUGE
217,187,46,JAUNE
170,36,53,ROUGE
